Unnamed: 0,"Route Id
(GTFS/Remix)","Route Name
(KCM)",Block Id,Departure Time,Arrival Time,"Distance
(mi)",Vehicle Size,"Efficiency
(kWh/mi)","Traction Energy
(kWh)","HVAC/ Aux
(kWh)","Total Energy
(kWh)",Depot,split category
3507,e41f9d2b,630,e41f9d2b-B8,18:17:00,18:49:00,15.16,40,2.82,38.83,3.89,42.72,Atlantic-Central,no split needed
3509,e41f9d2b,630,e41f9d2b-B9,18:47:00,19:19:00,15.16,40,2.82,38.83,3.89,42.72,Atlantic-Central,no split needed
3467,e41f9d2b,630,e41f9d2b-B12,19:11:00,19:44:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3469,e41f9d2b,630,e41f9d2b-B13,19:23:00,19:56:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3471,e41f9d2b,630,e41f9d2b-B14,19:35:00,20:08:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3473,e41f9d2b,630,e41f9d2b-B15,19:47:00,20:20:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3475,e41f9d2b,630,e41f9d2b-B16,19:59:00,20:32:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3477,e41f9d2b,630,e41f9d2b-B17,20:11:00,20:44:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3479,e41f9d2b,630,e41f9d2b-B18,20:23:00,20:56:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3481,e41f9d2b,630,e41f9d2b-B19,20:35:00,21:08:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3487,e41f9d2b,630,e41f9d2b-B21,20:59:00,21:32:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3489,e41f9d2b,630,e41f9d2b-B22,21:11:00,21:44:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3491,e41f9d2b,630,e41f9d2b-B23,21:23:00,21:56:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3493,e41f9d2b,630,e41f9d2b-B24,21:35:00,22:08:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3495,e41f9d2b,630,e41f9d2b-B25,21:47:00,22:20:00,15.16,40,2.82,38.83,3.96,42.79,Atlantic-Central,no split needed
3505,e41f9d2b,630,e41f9d2b-B7,17:47:00,18:19:00,15.55,40,2.75,38.93,3.89,42.82,Atlantic-Central,no split needed
3503,e41f9d2b,630,e41f9d2b-B6,17:17:00,17:49:00,15.55,40,2.76,39.01,3.89,42.9,Atlantic-Central,no split needed
3463,e41f9d2b,630,e41f9d2b-B10,18:47:00,19:20:00,15.17,40,2.83,38.96,3.96,42.92,Atlantic-Central,no split needed
3465,e41f9d2b,630,e41f9d2b-B11,18:59:00,19:32:00,15.17,40,2.83,38.96,3.96,42.92,Atlantic-Central,no split needed
3485,e41f9d2b,630,e41f9d2b-B20,20:47:00,21:20:00,15.17,40,2.83,38.96,3.96,42.92,Atlantic-Central,no split needed
6,102628,895,6779070,14:51:00,15:49:00,16.19,40,2.76,39.53,5.15,44.68,East,no split needed
5,102628,895,6779069,6:54:00,7:50:00,16.58,40,3.2,48.03,5.01,53.04,East,no split needed
3506,e41f9d2b,630,e41f9d2b-B7,17:47:00,18:19:00,15.55,60,3.48,49.89,4.27,54.15,Atlantic-Central,no split needed
3504,e41f9d2b,630,e41f9d2b-B6,17:17:00,17:49:00,15.55,60,3.49,49.97,4.27,54.23,Atlantic-Central,no split needed
3508,e41f9d2b,630,e41f9d2b-B8,18:17:00,18:49:00,15.16,60,3.63,50.81,4.27,55.08,Atlantic-Central,no split needed
3510,e41f9d2b,630,e41f9d2b-B9,18:47:00,19:19:00,15.16,60,3.63,50.81,4.27,55.08,Atlantic-Central,no split needed
3468,e41f9d2b,630,e41f9d2b-B12,19:11:00,19:44:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3470,e41f9d2b,630,e41f9d2b-B13,19:23:00,19:56:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3472,e41f9d2b,630,e41f9d2b-B14,19:35:00,20:08:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3474,e41f9d2b,630,e41f9d2b-B15,19:47:00,20:20:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3476,e41f9d2b,630,e41f9d2b-B16,19:59:00,20:32:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3478,e41f9d2b,630,e41f9d2b-B17,20:11:00,20:44:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3480,e41f9d2b,630,e41f9d2b-B18,20:23:00,20:56:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3482,e41f9d2b,630,e41f9d2b-B19,20:35:00,21:08:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3488,e41f9d2b,630,e41f9d2b-B21,20:59:00,21:32:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3490,e41f9d2b,630,e41f9d2b-B22,21:11:00,21:44:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3492,e41f9d2b,630,e41f9d2b-B23,21:23:00,21:56:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3494,e41f9d2b,630,e41f9d2b-B24,21:35:00,22:08:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
3496,e41f9d2b,630,e41f9d2b-B25,21:47:00,22:20:00,15.16,60,3.64,50.81,4.35,55.16,Atlantic-Central,no split needed
7,102555,893,6779071,14:47:00,15:50:00,18.45,40,3.0,49.76,5.49,55.26,East,no split needed
3464,e41f9d2b,630,e41f9d2b-B10,18:47:00,19:20:00,15.17,60,3.75,52.57,4.35,56.91,Atlantic-Central,no split needed
3466,e41f9d2b,630,e41f9d2b-B11,18:59:00,19:32:00,15.17,60,3.75,52.57,4.35,56.91,Atlantic-Central,no split needed
3486,e41f9d2b,630,e41f9d2b-B20,20:47:00,21:20:00,15.17,60,3.75,52.57,4.35,56.91,Atlantic-Central,no split needed
2781,afc215ac,1068,afc215ac-B37,14:38:00,15:21:00,10.26,60,5.67,35.21,22.96,58.18,Atlantic-Central,no split needed
2814,afc215ac,1068,afc215ac-B64,21:23:00,22:06:00,10.26,60,5.67,35.21,22.96,58.18,Atlantic-Central,no split needed
2801,afc215ac,1068,afc215ac-B53,18:38:00,19:21:00,9.61,60,6.05,35.22,22.96,58.19,Atlantic-Central,no split needed
2752,afc215ac,1068,afc215ac-B12,8:23:00,9:06:00,10.44,60,5.58,35.27,22.96,58.23,Atlantic-Central,no split needed
